input	score	concept_id	concept_name	concept_type
(CVD)	1000	C0007222	CVD, NOS (Cardiovascular Diseases)	Disease or Syndrome
(Focus on Diabetes, Asthma, Hypertension, CHF, COPD, CAD,	1000	C0011847	Diabetes	Disease or Syndrome
(Focus on Diabetes, Asthma, Hypertension, CHF, COPD, CAD,	1000	C0004096	Asthma	Disease or Syndrome
(Focus on Diabetes, Asthma, Hypertension, CHF, COPD, CAD,	1000	C0020538	Hypertension (Hypertensive disease)	Disease or Syndrome
(Focus on Diabetes, Asthma, Hypertension, CHF, COPD, CAD,	1000	C0018802	CHF (Congestive heart failure)	Disease or Syndrome
(Focus on Diabetes, Asthma, Hypertension, CHF, COPD, CAD,	1000	C0011849	Diabetes (Diabetes Mellitus)	Disease or Syndrome
(Influenza A and Subtypes Such as H3N2 and 2009 H1N1 or Influenza B)	861	C0021400	Influenza	Disease or Syndrome
(NAFLD)	1000	C0400966	NAFLD (Non-alcoholic Fatty Liver Disease)	Disease or Syndrome
(NMIBC = Non Muscle Invasive Bladder Cancer)	840	C0005684	Bladder Cancer (Malignant neoplasm of urinary bladder)	Neoplastic Process
(NMIBC = Non Muscle Invasive Bladder Cancer)	840	C0699885	Bladder Cancer (Carcinoma of bladder)	Neoplastic Process
(NMIBC = Non Muscle Invasive Bladder Cancer)	853	C0677898	invasive cancer (Invasive Malignant Neoplasm)	Neoplastic Process
(NMIBC = Non Muscle Invasive Bladder Cancer)	875	C0684743	Muscle Cancer (Malignant neoplasm of muscle)	Neoplastic Process
(NMIBC = Non Muscle Invasive Bladder Cancer)	804	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
(Tennis Elbow)	1000	C0039516	Tennis Elbow	Disease or Syndrome
* Diffuse Diabetic Macular Edema	923	C0730285	Diabetic macular edema	Disease or Syndrome
* Diffuse Diabetic Macular Edema	741	C0332573	Macula (Macule)	Sign or Symptom
* Diffuse Diabetic Macular Edema	861	C0024440	Macular Edema (Macular Edema, Cystoid)	Disease or Syndrome
* Diffuse Diabetic Macular Edema	861	C0271051	Macular Edema (Macular retinal edema)	Disease or Syndrome
* Myocardial Infarction	1000	C0027051	Myocardial Infarction	Disease or Syndrome
- Breast Cancer	1000	C0006142	Breast Cancer (Malignant neoplasm of breast)	Neoplastic Process
- Breast Cancer	1000	C0678222	Breast Cancer (Breast Carcinoma)	Neoplastic Process
- Breast Cancer	950	C0153661	thoracic cancer (Malignant neoplasm of thorax)	Neoplastic Process
- Breast Cancer	861	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
- Cerebral Palsy With Muscle Wasting	861	C0235394	Wasting	Disease or Syndrome
- Cerebral Palsy With Muscle Wasting	1000	C0007789	Cerebral Palsy	Disease or Syndrome
- Cerebral Palsy With Muscle Wasting	1000	C0026846	Muscle wasting (Muscular Atrophy)	Disease or Syndrome
- Crohnâs Disease	1000	C0010346	Crohns Disease (Crohn Disease)	Disease or Syndrome
- Crohnâs Disease	861	C0012634	Disease	Disease or Syndrome
- Dyspnea	1000	C0013404	Dyspnea	Sign or Symptom
- Egg Hypersensitivity	1000	C0559469	Egg Hypersensitivity (Allergy to eggs)	Disease or Syndrome
